,0
289,-19.25892316926644
290,226.7145525604833
291,113.77612627684857
292,6.171616075330917
293,99.12606826771326
294,15.82926945023263
295,-20.7201791145809
296,-213.04451187968402
297,-167.60422730359056
298,-314.4991727503906
299,-221.85731703361353
300,-94.19208388401199
301,-79.28018105539502
302,-96.59630085618835
303,-267.60225160301775
304,-112.33288541589053
305,49.60216028361242
306,165.6452539679837
307,-99.23594721670469
308,-138.82579629355382
309,15.408984138362996
310,91.41841659333124
311,178.56004603788153
312,-25.998862437819753
313,206.2447253139133
314,233.97489023360328
315,-44.64633539921016
316,-132.88585217256957
317,63.456868409754065
318,84.21437472768213
319,118.1105024187313
320,62.52393278702607
321,179.0556289320287
322,113.51846812580953
323,23.607142367570418
324,283.9281212323554
325,132.88173247479642
326,-48.756484793031916
327,-233.65523849985686
328,-46.21624384817153
329,-43.81503311942083
330,211.60163848673415
331,244.72157521761238
332,26.14036324107451
333,207.10769532769723
334,353.8892849197607
335,293.67131070925365
336,-107.93888316866872
337,77.3137168577885
338,138.6987509726399
339,13.870415625009684
340,153.88187072222524
341,97.60431375705457
342,175.40800228033322
343,-165.7330023291757
344,88.4802103022551
345,80.25439606974584
346,104.46087460858081
347,78.68924614195299
348,41.74104490233998
349,93.91730313903003
350,-220.1650589597093
351,176.92726431582452
352,176.3005915119861
353,433.87594797676144
354,127.50312849737816
355,125.36480737185457
356,-166.43817462761643
357,-11.967990586620317
358,144.79983962904004
359,-96.26873528110605
360,232.5905087072896
361,-164.41261286638428
362,60.80070729713515
363,-21.832303920044694
364,-131.89666695279357
365,244.0622124340867
366,35.536016842087406
367,18.646757352502448
368,136.3282543116215
369,69.15454884534296
370,-149.908879150391
371,70.59132004417364
372,-105.75460379290263
373,-92.80334804386104
374,-237.29139787555027
375,52.03004345950035
376,47.82618935861842
377,-4.4795976235024
378,-107.26903698081082
379,-126.7765143633008
380,-120.75951071220368
381,-162.6695979532969
382,252.37902508726677
383,-240.7292090895014
384,-40.295376930858765
385,-125.39069038657499
386,-105.69204167060008
387,-204.6825049332819
388,-125.28391931056916
389,110.15241997253986
390,-164.8887299963352
391,-115.56454934004523
392,-0.7549780501013856
393,147.70737956142364
394,-237.25562923908478
395,42.25067963862614
396,-25.449442189657077
397,-131.4573953547843
398,-125.22715956051258
399,129.12667647073812
400,-77.28303544258438
401,-129.08731611975907
402,266.7983439518963
403,-247.23645080600994
404,-240.8381610550975
405,-82.13134224918485
406,-195.50052796876315
407,-47.48521867473295
408,-145.095224910093
409,-146.0587023593451
410,-130.81599792790092
411,-255.92340706171564
412,-171.44974173415557
413,-189.9469413711571
414,-171.90357603898178
415,-259.33759837946536
416,-254.301425903289
417,-262.2611584492488
418,-111.69036366488854
419,48.33058951336187
420,-171.17434331936818
421,-183.43782114743289
422,-348.6416028695481
423,-82.32202542600021
424,-128.00486760896655
425,-5.696688872318646
426,352.14286983892583
427,-212.92270509066725
428,91.23870952716175
429,-237.3267187665055
430,-156.31373811446224
431,-16.40340728882012
432,-75.93935861427701
433,-20.49413520633533
434,-476.668769299214
435,-70.12277632466328
436,-279.456656953383
437,-469.38858588509504
438,74.83426070830893
439,-133.50076426450948
440,-49.618644340602714
441,19.632450868664648
442,-238.78510248462896
443,63.124330083703455
444,48.302896316719
445,192.495289860438
446,481.35060376101023
447,52.42123006381388
448,74.49326725241013
449,-321.8879400555097
450,331.31516196168764
451,-124.22865192891675
452,-30.885939471231495
453,215.37748583142815
454,159.77765323338429
455,-14.763719435456494
456,77.68263594876828
457,341.29113050795047
458,293.7205374327507
459,240.5525307625515
460,-45.674349092892385
461,-169.06706233711543
462,155.50676214617312
463,365.5604492464084
464,-33.69448254488316
465,182.05573631972823
466,86.3541857276266
467,-69.39542630908079
468,-123.17074700389747
469,36.67336021280215
470,-26.74645049916961
471,173.79408701888087
472,15.335872664010935
473,114.11492216676345
474,-108.06442596812502
475,29.762626477737456
476,69.60980723466565
477,197.71836446843554
478,122.7837665924547
479,-10.271235263596282
480,-124.22501637487886
481,69.07425840522569
482,-124.37621226364917
483,1.61032981453792
484,-117.80444876904045
485,100.86994525337843
486,31.905406951693237
487,-85.1502593720694
488,2.7430888160561153
489,-11.273952853495473
490,95.84605424274224
491,-102.92636684467288
492,48.442893951241444
493,56.12508104637959
494,-168.7332311153533
495,-172.59168078213645
496,47.931049516111614
497,-0.17627903478103235
498,-185.65163103454216
499,-212.91886589996244
500,241.76585579079278
501,17.453220978536763
502,103.63221252102352
503,-59.86108364677153
504,160.20742148503314
505,-63.92352567176715
506,19.421700330434476
507,-58.493656147696015
508,-82.96529925073253
509,-144.2850703219139
510,-68.00602441185549
511,17.475497528763583
512,-99.63866818217889
513,-4.9272585536360225
514,37.347774685888396
515,-76.78208641202963
516,94.85169889936253
517,95.82919721786999
518,-143.73098029917475
519,158.8719863513311
520,-54.85410172830751
521,121.78017721063719
522,67.95350789552066
523,-54.373035747582776
524,-47.467257067537446
525,109.1410366407157
526,94.74934080000361
527,176.60166487115208
528,-1.2178967130793694
529,14.177336659451214
530,-5.855589154923052
531,178.99684132631683
532,-87.93540454903109
533,54.46136612717754
534,204.1618792064503
535,65.27608542960036
536,-74.83636086712289
537,66.4103142259101
538,-14.682395716748033
539,210.59983327655203
540,93.68555799446574
541,65.94859493735521
542,130.16875094040552
543,159.31682047418815
544,189.43256487518846
545,-42.72075636851093
546,-74.852737476279
547,24.25544641066756
548,189.78054307157163
549,-47.653242544698344
550,123.55681845322033
551,19.537743325704014
552,91.35203636655001
553,24.179220111826453
554,-111.84154334077118
555,-116.38997212123121
556,-231.4443510824388
557,-197.19878415132098
558,38.50188459230594
559,474.4125279288536
560,-109.5152730437361
